,pred_high,pred_low,actual_low,close,open,actual_high,off_by,return,return_plow_minus_phigh,high,low
2021-01-04,44.713661193847656,42.78602600097656,38.3306,38.73,40.17,40.34,4.455426000976566,-4.056026000976566,1.9276351928710938,10:00:00,12:00:00
2021-01-05,44.51347351074219,42.61455154418945,38.45,39.55,38.49,40.085,4.16455154418945,-3.064551544189456,1.8989219665527344,15:00:00,10:00:00
2021-01-06,43.471378326416016,41.461185455322266,39.54,40.38,39.64,40.9,1.9211854553222665,-1.081185455322263,2.01019287109375,15:00:00,10:00:00
2021-01-07,43.31255340576172,41.36212158203125,40.21,40.23,40.45,40.945,1.1521215820312491,-1.1321215820312531,1.9504318237304688,11:00:00,16:00:00
2021-01-08,43.54046630859375,41.67471694946289,39.765,40.02,40.41,40.6911,1.90971694946289,-1.6547169494628875,1.8657493591308594,10:00:00,14:00:00
2021-01-11,43.572750091552734,41.83875274658203,38.9,39.41,39.08,39.99,2.9387527465820327,-2.4287527465820347,1.7339973449707031,11:00:00,10:00:00
2021-01-12,43.336490631103516,41.59851837158203,39.16,40.3,39.69,40.41,2.4385183715820347,-1.298518371582034,1.7379722595214844,16:00:00,10:00:00
2021-01-13,42.82625961303711,41.06479263305664,39.6299,40.45,40.01,40.74,1.4348926330566414,-0.6147926330566378,1.7614669799804688,15:00:00,11:00:00
2021-01-14,43.05754470825195,41.30295944213867,41.12,41.47,41.21,42.64,0.18295944213867443,0.167040557861327,1.7545852661132812,11:00:00,10:00:00
2021-01-15,43.2492561340332,41.46672058105469,39.96,39.98,41.67,41.67,1.5067205810546866,-1.4867205810546906,1.7825355529785156,10:00:00,16:00:00
2021-01-19,43.78740692138672,41.88261795043945,39.8007,40.31,40.31,40.65,2.081917950439454,-1.5726179504394509,1.9047889709472656,14:00:00,11:00:00
2021-01-20,43.11542510986328,41.174964904785156,40.5,41.62,40.69,41.77,0.6749649047851562,0.4450350952148412,1.940460205078125,14:00:00,10:00:00
2021-01-21,43.0768928527832,41.22187042236328,40.17,40.67,41.31,41.43,1.0518704223632795,-0.5518704223632795,1.8550224304199219,10:00:00,13:00:00
2021-01-22,43.62577438354492,41.79788589477539,39.81,40.0,40.0,40.27,1.9878858947753884,-1.7978858947753906,1.8278884887695312,11:00:00,15:00:00
2021-01-25,43.301353454589844,41.435848236083984,38.42,38.9,39.63,39.75,3.0158482360839827,-2.535848236083986,1.8655052185058594,10:00:00,12:00:00
2021-01-26,42.84052658081055,40.945274353027344,38.98,39.32,39.26,39.64,1.9652743530273469,-1.6252743530273435,1.8952522277832031,13:00:00,11:00:00
2021-01-27,42.05857849121094,40.067115783691406,38.1609,38.52,38.63,39.2254,1.9062157836914082,-1.5471157836914031,1.9914627075195312,12:00:00,10:00:00
2021-01-28,42.023475646972656,40.03666305541992,38.99,40.08,39.55,40.37,1.0466630554199199,0.04333694458007642,1.9868125915527344,11:00:00,10:00:00
2021-01-29,41.51457977294922,39.4198112487793,37.74,37.96,39.27,39.83,1.6798112487792949,-1.459811248779296,2.094768524169922,10:00:00,15:00:00
2021-02-01,41.910728454589844,39.802757263183594,37.415,37.82,38.35,38.4448,2.3877572631835946,-1.9827572631835935,2.10797119140625,10:00:00,11:00:00
2021-02-02,41.19213104248047,38.92475128173828,37.99,38.8,38.55,38.88,0.9347512817382793,-0.12475128173828409,2.2673797607421875,16:00:00,11:00:00
2021-02-03,41.053672790527344,38.75422668457031,38.7,39.78,38.87,39.9,0.05422668457030966,1.0257733154296886,2.2994461059570312,15:00:00,10:00:00
2021-02-10,44.43460464477539,42.39726257324219,42.16,42.9,42.84,43.22,0.2372625732421909,0.5027374267578111,2.037342071533203,13:00:00,11:00:00
2021-02-11,44.54985427856445,42.53229904174805,41.995,42.72,42.7,43.135,0.5372990417480494,0.187700958251952,2.0175552368164062,11:00:00,13:00:00
2021-02-12,44.75767135620117,42.80949401855469,42.41,43.29,42.51,43.94,0.3994940185546909,0.48050598144531165,1.9481773376464844,11:00:00,10:00:00
2021-02-18,45.64194869995117,43.994651794433594,43.37,44.38,43.8,44.545,0.6246517944335963,0.3853482055664088,1.6472969055175781,16:00:00,11:00:00
2021-02-26,49.25910568237305,47.35253143310547,47.28,47.94,47.7,49.14,0.07253143310546761,0.587468566894529,1.9065742492675781,10:00:00,10:00:00
2021-03-04,49.498905181884766,47.62387466430664,45.32,46.96,48.32,48.41,2.3038746643066403,-0.6638746643066398,1.875030517578125,10:00:00,15:00:00
2021-03-05,49.80327606201172,47.864341735839844,43.01,46.21,46.91,47.0,4.854341735839846,-1.654341735839843,1.938934326171875,10:00:00,12:00:00
2021-03-08,49.22182083129883,47.05547332763672,46.7,47.88,46.93,48.22,0.3554733276367159,0.8245266723632838,2.1663475036621094,14:00:00,10:00:00
2021-03-19,50.808265686035156,48.36150360107422,47.83,49.0,49.04,49.21,0.5315036010742205,0.6384963989257812,2.4467620849609375,10:00:00,10:00:00
2021-03-22,50.29133224487305,47.87404251098633,47.745,47.97,48.53,48.62,0.12904251098633068,0.09595748901367074,2.4172897338867188,10:00:00,11:00:00
2021-03-23,49.960479736328125,47.63115692138672,45.45,45.64,47.02,47.83,2.181156921386716,-1.9911569213867182,2.3293228149414062,10:00:00,16:00:00
2021-03-24,49.28831100463867,46.913734436035156,45.56,45.61,46.54,47.3999,1.353734436035154,-1.3037344360351568,2.3745765686035156,11:00:00,16:00:00
2021-03-25,48.158660888671875,45.58844757080078,44.52,47.01,44.79,47.215,1.0684475708007781,1.4215524291992168,2.5702133178710938,13:00:00,10:00:00
