,pred_high,pred_low,actual_low,close,open,actual_high,off_by,return,return_plow_minus_phigh,high,low
2021-01-04,42.68584442138672,41.369998931884766,38.3306,38.73,40.17,40.34,3.0393989318847687,-2.6399989318847688,1.3158454895019531,10:00:00,12:00:00
2021-01-05,42.54009246826172,41.21040725708008,38.45,39.55,38.49,40.085,2.7604072570800753,-1.660407257080081,1.3296852111816406,15:00:00,10:00:00
2021-01-08,42.41753387451172,41.007057189941406,39.765,40.02,40.41,40.6911,1.2420571899414057,-0.9870571899414031,1.4104766845703125,10:00:00,14:00:00
2021-01-11,42.64424514770508,41.33423614501953,38.9,39.41,39.08,39.99,2.4342361450195327,-1.9242361450195347,1.3100090026855469,11:00:00,10:00:00
2021-01-12,42.211204528808594,40.841400146484375,39.16,40.3,39.69,40.41,1.6814001464843784,-0.5414001464843778,1.3698043823242188,16:00:00,10:00:00
2021-01-13,41.62214279174805,40.15636444091797,39.6299,40.45,40.01,40.74,0.5264644409179695,0.2936355590820341,1.4657783508300781,15:00:00,11:00:00
2021-01-15,42.60163116455078,41.19269561767578,39.96,39.98,41.67,41.67,1.2326956176757804,-1.2126956176757844,1.408935546875,10:00:00,16:00:00
2021-01-19,43.338462829589844,41.857948303222656,39.8007,40.31,40.31,40.65,2.057248303222657,-1.547948303222654,1.4805145263671875,14:00:00,11:00:00
2021-01-20,42.36899185180664,40.80902099609375,40.5,41.62,40.69,41.77,0.30902099609375,0.8109790039062474,1.5599708557128906,14:00:00,10:00:00
2021-01-21,42.39834976196289,41.01152801513672,40.17,40.67,41.31,41.43,0.841528015136717,-0.34152801513671704,1.3868217468261719,10:00:00,13:00:00
2021-01-22,43.22230529785156,41.91582489013672,39.81,40.0,40.0,40.27,2.1058248901367165,-1.9158248901367188,1.3064804077148438,11:00:00,15:00:00
2021-01-25,42.61590576171875,41.18992614746094,38.42,38.9,39.63,39.75,2.769926147460936,-2.289926147460939,1.4259796142578125,10:00:00,12:00:00
2021-01-26,41.971065521240234,40.49427032470703,38.98,39.32,39.26,39.64,1.5142703247070344,-1.174270324707031,1.4767951965332031,13:00:00,11:00:00
2021-01-27,40.97195816040039,39.31031036376953,38.1609,38.52,38.63,39.2254,1.1494103637695332,-0.7903103637695281,1.6616477966308594,12:00:00,10:00:00
2021-01-28,41.28660202026367,39.80309295654297,38.99,40.08,39.55,40.37,0.8130929565429668,0.27690704345702954,1.4835090637207031,11:00:00,10:00:00
2021-01-29,40.5399284362793,38.74604797363281,37.74,37.96,39.27,39.83,1.0060479736328105,-0.7860479736328116,1.7938804626464844,10:00:00,15:00:00
2021-02-01,41.24427795410156,39.4940185546875,37.415,37.82,38.35,38.4448,2.079018554687501,-1.6740185546874997,1.7502593994140625,10:00:00,11:00:00
2021-02-02,40.0050048828125,38.06151580810547,37.99,38.8,38.55,38.88,0.07151580810546676,0.7384841918945284,1.9434890747070312,16:00:00,11:00:00
2021-02-10,44.07523727416992,42.67728805541992,42.16,42.9,42.84,43.22,0.5172880554199253,0.2227119445800767,1.39794921875,13:00:00,11:00:00
2021-02-11,44.289451599121094,43.01579666137695,41.995,42.72,42.7,43.135,1.0207966613769557,-0.29579666137695426,1.2736549377441406,11:00:00,13:00:00
2021-02-12,44.40099334716797,43.17384338378906,42.41,43.29,42.51,43.94,0.7638433837890659,0.11615661621093665,1.2271499633789062,11:00:00,10:00:00
2021-02-17,44.77334213256836,43.55843734741211,43.535,44.39,44.28,44.5,0.023437347412112786,0.8315626525878912,1.21490478515625,10:00:00,10:00:00
2021-02-18,45.526329040527344,44.32585906982422,43.37,44.38,43.8,44.545,0.9558590698242213,0.05414093017578381,1.200469970703125,16:00:00,11:00:00
2021-02-26,49.29344177246094,47.94944381713867,47.28,47.94,47.7,49.14,0.6694438171386707,-0.009443817138674149,1.3439979553222656,10:00:00,10:00:00
2021-03-04,48.337799072265625,46.892677307128906,45.32,46.96,48.32,48.41,1.572677307128906,0.0673226928710946,1.4451217651367188,10:00:00,15:00:00
2021-03-05,48.442710876464844,46.9923210144043,43.01,46.21,46.91,47.0,3.982321014404299,-0.782321014404296,1.4503898620605469,10:00:00,12:00:00
2021-03-19,49.72183609008789,48.21187973022461,47.83,49.0,49.04,49.21,0.3818797302246111,0.7881202697753906,1.5099563598632812,10:00:00,10:00:00
2021-03-23,48.72890853881836,47.25989532470703,45.45,45.64,47.02,47.83,1.8098953247070284,-1.6198953247070307,1.4690132141113281,10:00:00,16:00:00
2021-03-24,48.046302795410156,46.42067337036133,45.56,45.61,46.54,47.3999,0.8606733703613259,-0.8106733703613287,1.6256294250488281,11:00:00,16:00:00
2021-03-25,46.546913146972656,44.669189453125,44.52,47.01,44.79,47.215,0.14918945312499687,2.340810546874998,1.8777236938476562,13:00:00,10:00:00
